timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1721091501549,213,et-upload-test,200, success,Thread Group 1-2,text,true,,21,0,16,16,null,0,0,0
1721091501704,162,et-upload-test,200, success,Thread Group 1-3,text,true,,21,0,15,15,null,0,0,0
1721091501845,430,et-upload-test,200, success,Thread Group 1-5,text,true,,21,0,14,14,null,0,0,0
1721091501989,494,et-upload-test,200, success,Thread Group 1-6,text,true,,21,0,13,13,null,0,0,0
1721091501371,1332,et-upload-test,200, success,Thread Group 1-4,text,true,,21,0,12,12,null,0,0,0
1721091502179,632,et-upload-test,200, success,Thread Group 1-7,text,true,,21,0,11,11,null,0,0,0
1721091502317,792,et-upload-test,200, success,Thread Group 1-8,text,true,,21,0,10,10,null,0,0,0
1721091501410,1803,et-upload-test,200, success,Thread Group 1-1,text,true,,21,0,9,9,null,0,0,0
1721091502502,1019,et-upload-test,200, success,Thread Group 1-9,text,true,,21,0,8,8,null,0,0,0
1721091502637,1118,et-upload-test,200, success,Thread Group 1-10,text,true,,21,0,7,7,null,0,0,0
1721091502842,1272,et-upload-test,200, success,Thread Group 1-11,text,true,,21,0,6,6,null,0,0,0
1721091502983,1473,et-upload-test,200, success,Thread Group 1-12,text,true,,21,0,5,5,null,0,0,0
1721091503123,1600,et-upload-test,200, success,Thread Group 1-13,text,true,,21,0,4,4,null,0,0,0
1721091503262,1710,et-upload-test,200, success,Thread Group 1-14,text,true,,21,0,3,3,null,0,0,0
1721091503526,1716,et-upload-test,200, success,Thread Group 1-15,text,true,,21,0,2,2,null,0,0,0
1721091503767,1682,et-upload-test,200, success,Thread Group 1-16,text,true,,21,0,1,1,null,0,0,0
