timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1722583964485,3729,HTTP Request,200,OK,Thread Group 1-79,text,true,,300,1026158,1300,1300,http://localhost:8000/upload/,3728,0,44
1722583964564,3650,HTTP Request,200,OK,Thread Group 1-162,text,true,,300,1026133,1300,1300,http://localhost:8000/upload/,3649,0,1
1722583964490,4757,HTTP Request,200,OK,Thread Group 1-16,text,true,,300,1026236,1298,1298,http://localhost:8000/upload/,4757,0,101
1722583964494,6804,HTTP Request,200,OK,Thread Group 1-4,text,true,,300,1026235,1297,1297,http://localhost:8000/upload/,6804,0,126
1722583964633,6950,HTTP Request,200,OK,Thread Group 1-226,text,true,,302,1026133,1296,1296,http://localhost:8000/upload/,6950,0,0
1722583964564,7487,HTTP Request,200,OK,Thread Group 1-158,text,true,,302,1026185,1295,1295,http://localhost:8000/upload/,7487,0,4
1722583964615,7561,HTTP Request,200,OK,Thread Group 1-202,text,true,,302,1026211,1294,1294,http://localhost:8000/upload/,7561,0,4
1722583964476,7745,HTTP Request,200,OK,Thread Group 1-7,text,true,,302,1026196,1293,1293,http://localhost:8000/upload/,7745,0,52
1722583964613,7649,HTTP Request,200,OK,Thread Group 1-183,text,true,,302,1026133,1292,1292,http://localhost:8000/upload/,7649,0,4
1722583964527,7785,HTTP Request,200,OK,Thread Group 1-123,text,true,,302,1026237,1291,1291,http://localhost:8000/upload/,7785,0,3
1722583964523,7790,HTTP Request,200,OK,Thread Group 1-120,text,true,,302,1026159,1291,1291,http://localhost:8000/upload/,7790,0,7
1722583964490,7917,HTTP Request,200,OK,Thread Group 1-38,text,true,,302,1026158,1289,1289,http://localhost:8000/upload/,7917,0,71
1722583964490,8016,HTTP Request,200,OK,Thread Group 1-3,text,true,,302,1026248,1288,1288,http://localhost:8000/upload/,8016,0,131
1722583964645,7974,HTTP Request,200,OK,Thread Group 1-239,text,true,,302,1026146,1287,1287,http://localhost:8000/upload/,7974,0,9
1722583964574,8159,HTTP Request,200,OK,Thread Group 1-170,text,true,,302,1026237,1286,1286,http://localhost:8000/upload/,8159,0,7
1722583964478,8268,HTTP Request,200,OK,Thread Group 1-78,text,true,,302,1026132,1285,1285,http://localhost:8000/upload/,8268,0,126
1722583964643,8168,HTTP Request,200,OK,Thread Group 1-238,text,true,,302,1026250,1284,1284,http://localhost:8000/upload/,8168,0,6
1722583964476,8350,HTTP Request,200,OK,Thread Group 1-12,text,true,,302,1026171,1283,1283,http://localhost:8000/upload/,8350,0,104
1722583964498,8350,HTTP Request,200,OK,Thread Group 1-61,text,true,,302,1026132,1282,1282,http://localhost:8000/upload/,8350,0,199
1722583964615,8234,HTTP Request,200,OK,Thread Group 1-208,text,true,,302,1026159,1282,1282,http://localhost:8000/upload/,8234,0,4
1722583964782,8118,HTTP Request,200,OK,Thread Group 1-358,text,true,,302,1026172,1280,1280,http://localhost:8000/upload/,8118,0,1
1722583964537,8405,HTTP Request,200,OK,Thread Group 1-133,text,true,,302,1026211,1279,1279,http://localhost:8000/upload/,8405,0,3
1722583964482,8459,HTTP Request,200,OK,Thread Group 1-9,text,true,,302,1026261,1279,1279,http://localhost:8000/upload/,8459,0,46
1722583964632,8331,HTTP Request,200,OK,Thread Group 1-164,text,true,,302,1026250,1277,1277,http://localhost:8000/upload/,8331,0,6
1722583965106,7870,HTTP Request,200,OK,Thread Group 1-707,text,true,,302,1026133,1276,1276,http://localhost:8000/upload/,7870,0,1
1722583965276,7700,HTTP Request,200,OK,Thread Group 1-869,text,true,,302,1026159,1276,1276,http://localhost:8000/upload/,7700,0,3
1722583964526,8470,HTTP Request,200,OK,Thread Group 1-125,text,true,,302,1026146,1274,1274,http://localhost:8000/upload/,8470,0,23
1722583965461,7536,HTTP Request,200,OK,Thread Group 1-1061,text,true,,302,1026238,1273,1273,http://localhost:8000/upload/,7536,0,1
1722583965160,7837,HTTP Request,200,OK,Thread Group 1-755,text,true,,302,1026172,1272,1272,http://localhost:8000/upload/,7837,0,0
1722583965314,7685,HTTP Request,200,OK,Thread Group 1-911,text,true,,302,1026172,1271,1271,http://localhost:8000/upload/,7685,0,0
1722583964542,8457,HTTP Request,200,OK,Thread Group 1-136,text,true,,302,1026250,1271,1271,http://localhost:8000/upload/,8457,0,2
1722583964818,8182,HTTP Request,200,OK,Thread Group 1-416,text,true,,302,1026159,1269,1269,http://localhost:8000/upload/,8182,0,1
1722583964901,8122,HTTP Request,200,OK,Thread Group 1-499,text,true,,302,1026172,1268,1268,http://localhost:8000/upload/,8122,0,1
1722583964912,8127,HTTP Request,200,OK,Thread Group 1-510,text,true,,302,1026237,1267,1267,http://localhost:8000/upload/,8127,0,1
1722583964493,8545,HTTP Request,200,OK,Thread Group 1-37,text,true,,302,1026262,1267,1267,http://localhost:8000/upload/,8545,0,112
1722583965302,7752,HTTP Request,200,OK,Thread Group 1-900,text,true,,302,1026211,1265,1265,http://localhost:8000/upload/,7752,0,1
1722583964918,8136,HTTP Request,200,OK,Thread Group 1-514,text,true,,302,1026224,1265,1265,http://localhost:8000/upload/,8136,0,4
1722583964686,8384,HTTP Request,200,OK,Thread Group 1-185,text,true,,302,1026172,1263,1263,http://localhost:8000/upload/,8384,0,3
1722583964953,8119,HTTP Request,200,OK,Thread Group 1-552,text,true,,302,1026172,1262,1262,http://localhost:8000/upload/,8119,0,1
1722583964656,8416,HTTP Request,200,OK,Thread Group 1-201,text,true,,302,1026263,1261,1261,http://localhost:8000/upload/,8416,0,0
1722583965580,7496,HTTP Request,200,OK,Thread Group 1-1172,text,true,,302,1026238,1260,1260,http://localhost:8000/upload/,7496,0,3
1722583965261,7815,HTTP Request,200,OK,Thread Group 1-860,text,true,,302,1026172,1260,1260,http://localhost:8000/upload/,7815,0,1
1722583964787,8475,HTTP Request,200,OK,Thread Group 1-387,text,true,,302,1026211,1258,1258,http://localhost:8000/upload/,8475,0,0
1722583964805,8458,HTTP Request,200,OK,Thread Group 1-404,text,true,,302,1026159,1257,1257,http://localhost:8000/upload/,8458,0,1
1722583964947,8316,HTTP Request,200,OK,Thread Group 1-543,text,true,,302,1026198,1256,1256,http://localhost:8000/upload/,8316,0,0
1722583965622,7641,HTTP Request,200,OK,Thread Group 1-1220,text,true,,302,1026199,1255,1255,http://localhost:8000/upload/,7641,0,1
1722583964801,8462,HTTP Request,200,OK,Thread Group 1-400,text,true,,302,1026263,1255,1255,http://localhost:8000/upload/,8462,0,0
1722583964953,8327,HTTP Request,200,OK,Thread Group 1-554,text,true,,302,1026185,1253,1253,http://localhost:8000/upload/,8327,0,1
1722583965341,7940,HTTP Request,200,OK,Thread Group 1-942,text,true,,302,1026133,1252,1252,http://localhost:8000/upload/,7940,0,0
1722583964521,8761,HTTP Request,200,OK,Thread Group 1-117,text,true,,302,1026133,1251,1251,http://localhost:8000/upload/,8761,0,8
1722583965005,8277,HTTP Request,200,OK,Thread Group 1-603,text,true,,302,1026146,1250,1250,http://localhost:8000/upload/,8277,0,0
1722583964888,8395,HTTP Request,200,OK,Thread Group 1-466,text,true,,302,1026159,1249,1249,http://localhost:8000/upload/,8395,0,10
1722583964574,8710,HTTP Request,200,OK,Thread Group 1-169,text,true,,302,1026263,1248,1248,http://localhost:8000/upload/,8710,0,5
1722583964971,8313,HTTP Request,200,OK,Thread Group 1-570,text,true,,302,1026146,1248,1248,http://localhost:8000/upload/,8313,0,0
1722583965467,7817,HTTP Request,200,OK,Thread Group 1-1068,text,true,,302,1026147,1246,1246,http://localhost:8000/upload/,7817,0,0
1722583964702,8583,HTTP Request,200,OK,Thread Group 1-255,text,true,,302,1026146,1245,1245,http://localhost:8000/upload/,8583,0,3
1722583965232,8053,HTTP Request,200,OK,Thread Group 1-829,text,true,,302,1026172,1244,1244,http://localhost:8000/upload/,8053,0,1
1722583964496,8790,HTTP Request,200,OK,Thread Group 1-64,text,true,,302,1026197,1243,1243,http://localhost:8000/upload/,8790,0,34
1722583964773,8515,HTTP Request,200,OK,Thread Group 1-362,text,true,,302,1026211,1242,1242,http://localhost:8000/upload/,8515,0,3
1722583964823,8478,HTTP Request,200,OK,Thread Group 1-419,text,true,,302,1026263,1241,1241,http://localhost:8000/upload/,8478,0,0
1722583964514,8787,HTTP Request,200,OK,Thread Group 1-113,text,true,,302,1026159,1241,1241,http://localhost:8000/upload/,8787,0,82
1722583964490,8825,HTTP Request,200,OK,Thread Group 1-89,text,true,,302,1026184,1239,1239,http://localhost:8000/upload/,8825,0,47
