timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1722583340150,214,HTTP Request,200,OK,Thread Group 1-6,text,true,,299,1026248,27,27,http://localhost:8000/upload/,213,0,15
1722583340160,223,HTTP Request,200,OK,Thread Group 1-7,text,true,,299,1026261,28,28,http://localhost:8000/upload/,223,0,5
1722583340168,216,HTTP Request,200,OK,Thread Group 1-8,text,true,,299,1026196,28,28,http://localhost:8000/upload/,216,0,1
1722583340261,133,HTTP Request,200,OK,Thread Group 1-17,text,true,,299,1026171,27,27,http://localhost:8000/upload/,133,0,1
1722583340298,104,HTTP Request,200,OK,Thread Group 1-21,text,true,,299,1026184,27,27,http://localhost:8000/upload/,104,0,1
1722583340248,155,HTTP Request,200,OK,Thread Group 1-16,text,true,,300,1026236,26,26,http://localhost:8000/upload/,155,0,1
1722583340192,216,HTTP Request,200,OK,Thread Group 1-10,text,true,,300,1026158,26,26,http://localhost:8000/upload/,216,0,1
1722583340178,235,HTTP Request,200,OK,Thread Group 1-9,text,true,,300,1026261,25,25,http://localhost:8000/upload/,235,0,1
1722583340145,267,HTTP Request,200,OK,Thread Group 1-4,text,true,,300,1026235,25,25,http://localhost:8000/upload/,267,0,20
1722583340145,274,HTTP Request,200,OK,Thread Group 1-1,text,true,,300,1026209,24,24,http://localhost:8000/upload/,274,0,19
1722583340222,198,HTTP Request,200,OK,Thread Group 1-13,text,true,,300,1026171,24,24,http://localhost:8000/upload/,198,0,0
1722583340145,274,HTTP Request,200,OK,Thread Group 1-5,text,true,,300,1026261,22,22,http://localhost:8000/upload/,274,0,19
1722583340145,280,HTTP Request,200,OK,Thread Group 1-2,text,true,,300,1026170,21,21,http://localhost:8000/upload/,280,0,20
1722583340145,283,HTTP Request,200,OK,Thread Group 1-3,text,true,,300,1026248,20,20,http://localhost:8000/upload/,283,0,19
1722583340228,210,HTTP Request,200,OK,Thread Group 1-14,text,true,,300,1026132,20,20,http://localhost:8000/upload/,210,0,1
1722583340370,70,HTTP Request,200,OK,Thread Group 1-28,text,true,,299,1026132,20,20,http://localhost:8000/upload/,70,0,0
1722583340278,169,HTTP Request,200,OK,Thread Group 1-19,text,true,,300,1026262,19,19,http://localhost:8000/upload/,169,0,1
1722583340288,159,HTTP Request,200,OK,Thread Group 1-20,text,true,,300,1026262,18,18,http://localhost:8000/upload/,159,0,1
1722583340312,141,HTTP Request,200,OK,Thread Group 1-22,text,true,,300,1026145,18,18,http://localhost:8000/upload/,141,0,1
1722583340213,240,HTTP Request,200,OK,Thread Group 1-12,text,true,,300,1026158,17,17,http://localhost:8000/upload/,240,0,1
1722583340343,116,HTTP Request,200,OK,Thread Group 1-25,text,true,,300,1026132,17,17,http://localhost:8000/upload/,116,0,0
1722583340200,265,HTTP Request,200,OK,Thread Group 1-11,text,true,,300,1026210,16,16,http://localhost:8000/upload/,265,0,1
1722583340238,232,HTTP Request,200,OK,Thread Group 1-15,text,true,,300,1026171,15,15,http://localhost:8000/upload/,232,0,0
1722583340329,143,HTTP Request,200,OK,Thread Group 1-24,text,true,,300,1026197,15,15,http://localhost:8000/upload/,143,0,1
1722583340360,118,HTTP Request,200,OK,Thread Group 1-27,text,true,,300,1026236,14,14,http://localhost:8000/upload/,118,0,1
1722583340269,218,HTTP Request,200,OK,Thread Group 1-18,text,true,,300,1026184,14,14,http://localhost:8000/upload/,218,0,1
1722583340378,110,HTTP Request,200,OK,Thread Group 1-29,text,true,,300,1026236,13,13,http://localhost:8000/upload/,110,0,1
1722583340398,98,HTTP Request,200,OK,Thread Group 1-31,text,true,,299,1026262,13,13,http://localhost:8000/upload/,98,0,1
1722583340348,158,HTTP Request,200,OK,Thread Group 1-26,text,true,,300,1026249,13,13,http://localhost:8000/upload/,158,0,1
1722583340323,185,HTTP Request,200,OK,Thread Group 1-23,text,true,,300,1026210,12,12,http://localhost:8000/upload/,185,0,1
1722583340389,125,HTTP Request,200,OK,Thread Group 1-30,text,true,,300,1026132,12,12,http://localhost:8000/upload/,125,0,1
1722583340440,79,HTTP Request,200,OK,Thread Group 1-35,text,true,,299,1026197,11,11,http://localhost:8000/upload/,79,0,0
1722583340430,90,HTTP Request,200,OK,Thread Group 1-34,text,true,,299,1026210,10,10,http://localhost:8000/upload/,90,0,0
1722583340420,114,HTTP Request,200,OK,Thread Group 1-33,text,true,,300,1026236,11,11,http://localhost:8000/upload/,114,0,0
1722583340528,10,HTTP Request,200,OK,Thread Group 1-44,text,true,,298,1026236,10,10,http://localhost:8000/upload/,10,0,1
1722583340470,78,HTTP Request,200,OK,Thread Group 1-38,text,true,,299,1026171,10,10,http://localhost:8000/upload/,78,0,1
1722583340408,142,HTTP Request,200,OK,Thread Group 1-32,text,true,,300,1026197,9,9,http://localhost:8000/upload/,142,0,1
1722583340489,69,HTTP Request,200,OK,Thread Group 1-40,text,true,,299,1026249,10,10,http://localhost:8000/upload/,69,0,1
1722583340509,56,HTTP Request,200,OK,Thread Group 1-42,text,true,,299,1026249,9,9,http://localhost:8000/upload/,56,0,1
1722583340449,129,HTTP Request,200,OK,Thread Group 1-36,text,true,,300,1026132,10,10,http://localhost:8000/upload/,129,0,0
1722583340578,24,HTTP Request,200,OK,Thread Group 1-49,text,true,,299,1026171,11,11,http://localhost:8000/upload/,24,0,0
1722583340480,127,HTTP Request,200,OK,Thread Group 1-39,text,true,,300,1026249,10,10,http://localhost:8000/upload/,127,0,1
1722583340542,73,HTTP Request,200,OK,Thread Group 1-45,text,true,,299,1026236,10,10,http://localhost:8000/upload/,73,0,1
1722583340459,160,HTTP Request,200,OK,Thread Group 1-37,text,true,,300,1026223,9,9,http://localhost:8000/upload/,160,0,0
1722583340603,23,HTTP Request,200,OK,Thread Group 1-51,text,true,,299,1026249,9,9,http://localhost:8000/upload/,23,0,0
1722583340523,111,HTTP Request,200,OK,Thread Group 1-43,text,true,,300,1026210,9,9,http://localhost:8000/upload/,111,0,0
1722583340551,94,HTTP Request,200,OK,Thread Group 1-46,text,true,,299,1026184,9,9,http://localhost:8000/upload/,93,0,1
1722583340499,163,HTTP Request,200,OK,Thread Group 1-41,text,true,,300,1026184,10,10,http://localhost:8000/upload/,163,0,1
1722583340558,107,HTTP Request,200,OK,Thread Group 1-47,text,true,,299,1026223,9,9,http://localhost:8000/upload/,106,0,1
1722583340592,77,HTTP Request,200,OK,Thread Group 1-50,text,true,,299,1026197,9,9,http://localhost:8000/upload/,77,0,1
1722583340570,103,HTTP Request,200,OK,Thread Group 1-48,text,true,,299,1026158,8,8,http://localhost:8000/upload/,103,0,1
1722583340658,19,HTTP Request,200,OK,Thread Group 1-57,text,true,,299,1026262,7,7,http://localhost:8000/upload/,19,0,1
1722583340633,76,HTTP Request,200,OK,Thread Group 1-54,text,true,,299,1026223,10,10,http://localhost:8000/upload/,76,0,1
1722583340701,15,HTTP Request,200,OK,Thread Group 1-61,text,true,,298,1026158,9,9,http://localhost:8000/upload/,15,0,1
1722583340610,108,HTTP Request,200,OK,Thread Group 1-52,text,true,,300,1026158,9,9,http://localhost:8000/upload/,108,0,1
1722583340621,99,HTTP Request,200,OK,Thread Group 1-53,text,true,,299,1026132,8,8,http://localhost:8000/upload/,99,0,0
1722583340680,71,HTTP Request,200,OK,Thread Group 1-59,text,true,,299,1026262,9,9,http://localhost:8000/upload/,71,0,1
1722583340653,100,HTTP Request,200,OK,Thread Group 1-56,text,true,,299,1026158,9,9,http://localhost:8000/upload/,100,0,1
1722583340669,94,HTTP Request,200,OK,Thread Group 1-58,text,true,,299,1026171,9,9,http://localhost:8000/upload/,94,0,1
1722583340718,50,HTTP Request,200,OK,Thread Group 1-63,text,true,,299,1026262,8,8,http://localhost:8000/upload/,50,0,1
1722583340744,37,HTTP Request,200,OK,Thread Group 1-65,text,true,,299,1026249,9,9,http://localhost:8000/upload/,37,0,1
1722583340639,144,HTTP Request,200,OK,Thread Group 1-55,text,true,,300,1026132,8,8,http://localhost:8000/upload/,144,0,1
1722583340752,50,HTTP Request,200,OK,Thread Group 1-66,text,true,,299,1026158,9,9,http://localhost:8000/upload/,50,0,1
1722583340780,25,HTTP Request,200,OK,Thread Group 1-69,text,true,,299,1026210,8,8,http://localhost:8000/upload/,25,0,0
1722583340709,102,HTTP Request,200,OK,Thread Group 1-62,text,true,,299,1026184,7,7,http://localhost:8000/upload/,102,0,1
1722583340773,38,HTTP Request,200,OK,Thread Group 1-68,text,true,,299,1026236,7,7,http://localhost:8000/upload/,38,0,1
1722583340823,8,HTTP Request,200,OK,Thread Group 1-73,text,true,,298,1026145,8,8,http://localhost:8000/upload/,8,0,1
1722583340762,85,HTTP Request,200,OK,Thread Group 1-67,text,true,,299,1026262,8,8,http://localhost:8000/upload/,85,0,1
1722583340690,158,HTTP Request,200,OK,Thread Group 1-60,text,true,,300,1026132,7,7,http://localhost:8000/upload/,158,0,1
1722583340792,65,HTTP Request,200,OK,Thread Group 1-70,text,true,,299,1026210,7,7,http://localhost:8000/upload/,65,0,1
1722583340798,59,HTTP Request,200,OK,Thread Group 1-71,text,true,,299,1026197,7,7,http://localhost:8000/upload/,59,0,1
1722583340831,33,HTTP Request,200,OK,Thread Group 1-74,text,true,,299,1026262,6,6,http://localhost:8000/upload/,33,0,0
1722583340841,62,HTTP Request,200,OK,Thread Group 1-75,text,true,,299,1026262,9,9,http://localhost:8000/upload/,62,0,1
1722583340811,102,HTTP Request,200,OK,Thread Group 1-72,text,true,,299,1026249,9,9,http://localhost:8000/upload/,102,0,0
1722583340863,50,HTTP Request,200,OK,Thread Group 1-77,text,true,,299,1026236,8,8,http://localhost:8000/upload/,50,0,1
1722583340871,49,HTTP Request,200,OK,Thread Group 1-78,text,true,,299,1026145,8,8,http://localhost:8000/upload/,49,0,2
1722583340920,8,HTTP Request,200,OK,Thread Group 1-83,text,true,,298,1026132,7,7,http://localhost:8000/upload/,8,0,1
1722583340882,53,HTTP Request,200,OK,Thread Group 1-79,text,true,,299,1026223,7,7,http://localhost:8000/upload/,53,0,1
1722583340729,218,HTTP Request,200,OK,Thread Group 1-64,text,true,,300,1026249,7,7,http://localhost:8000/upload/,218,0,1
1722583340853,98,HTTP Request,200,OK,Thread Group 1-76,text,true,,299,1026236,7,7,http://localhost:8000/upload/,97,0,1
1722583340913,49,HTTP Request,200,OK,Thread Group 1-82,text,true,,299,1026223,7,7,http://localhost:8000/upload/,49,0,0
1722583340959,26,HTTP Request,200,OK,Thread Group 1-87,text,true,,299,1026223,8,8,http://localhost:8000/upload/,26,0,1
1722583340892,103,HTTP Request,200,OK,Thread Group 1-80,text,true,,299,1026249,8,8,http://localhost:8000/upload/,103,0,1
1722583340977,31,HTTP Request,200,OK,Thread Group 1-89,text,true,,299,1026132,9,9,http://localhost:8000/upload/,31,0,1
1722583341001,12,HTTP Request,200,OK,Thread Group 1-91,text,true,,298,1026236,8,8,http://localhost:8000/upload/,12,0,1
1722583340928,91,HTTP Request,200,OK,Thread Group 1-84,text,true,,299,1026262,8,8,http://localhost:8000/upload/,91,0,0
1722583340900,138,HTTP Request,200,OK,Thread Group 1-81,text,true,,300,1026132,8,8,http://localhost:8000/upload/,138,0,1
1722583340987,62,HTTP Request,200,OK,Thread Group 1-90,text,true,,299,1026223,8,8,http://localhost:8000/upload/,62,0,1
1722583341019,32,HTTP Request,200,OK,Thread Group 1-93,text,true,,299,1026158,7,7,http://localhost:8000/upload/,32,0,0
1722583340943,119,HTTP Request,200,OK,Thread Group 1-85,text,true,,300,1026184,8,8,http://localhost:8000/upload/,119,0,1
1722583341053,13,HTTP Request,200,OK,Thread Group 1-96,text,true,,298,1026262,7,7,http://localhost:8000/upload/,13,0,1
1722583340950,136,HTTP Request,200,OK,Thread Group 1-86,text,true,,300,1026145,8,8,http://localhost:8000/upload/,136,0,1
1722583341033,54,HTTP Request,200,OK,Thread Group 1-94,text,true,,299,1026210,7,7,http://localhost:8000/upload/,54,0,0
1722583340971,125,HTTP Request,200,OK,Thread Group 1-88,text,true,,300,1026249,7,7,http://localhost:8000/upload/,125,0,0
