timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1722583434039,5556,HTTP Request,200,OK,Thread Group 1-236,text,true,,302,1026211,88,88,http://localhost:8000/upload/,5556,0,4
1722583434261,5335,HTTP Request,200,OK,Thread Group 1-447,text,true,,302,1026224,87,87,http://localhost:8000/upload/,5335,0,1
1722583434324,5275,HTTP Request,200,OK,Thread Group 1-521,text,true,,302,1026198,86,86,http://localhost:8000/upload/,5275,0,1
1722583434222,5377,HTTP Request,200,OK,Thread Group 1-425,text,true,,302,1026133,85,85,http://localhost:8000/upload/,5377,0,1
1722583434233,5377,HTTP Request,200,OK,Thread Group 1-429,text,true,,302,1026211,84,84,http://localhost:8000/upload/,5377,0,2
1722583434679,4932,HTTP Request,200,OK,Thread Group 1-883,text,true,,302,1026224,83,83,http://localhost:8000/upload/,4932,0,0
1722583433997,5615,HTTP Request,200,OK,Thread Group 1-199,text,true,,302,1026224,82,82,http://localhost:8000/upload/,5615,0,2
1722583434208,5405,HTTP Request,200,OK,Thread Group 1-388,text,true,,302,1026172,81,81,http://localhost:8000/upload/,5405,0,0
1722583434102,5511,HTTP Request,200,OK,Thread Group 1-302,text,true,,302,1026237,80,80,http://localhost:8000/upload/,5511,0,2
1722583434282,5332,HTTP Request,200,OK,Thread Group 1-482,text,true,,302,1026133,79,79,http://localhost:8000/upload/,5332,0,5
1722583434496,5118,HTTP Request,200,OK,Thread Group 1-694,text,true,,302,1026250,78,78,http://localhost:8000/upload/,5118,0,1
1722583434596,5019,HTTP Request,200,OK,Thread Group 1-799,text,true,,302,1026146,77,77,http://localhost:8000/upload/,5019,0,1
1722583434416,5200,HTTP Request,200,OK,Thread Group 1-617,text,true,,302,1026133,76,76,http://localhost:8000/upload/,5200,0,0
1722583434469,5147,HTTP Request,200,OK,Thread Group 1-668,text,true,,302,1026198,75,75,http://localhost:8000/upload/,5147,0,7
1722583433888,5728,HTTP Request,200,OK,Thread Group 1-89,text,true,,302,1026236,74,74,http://localhost:8000/upload/,5728,0,187
1722583434680,4937,HTTP Request,200,OK,Thread Group 1-880,text,true,,302,1026237,73,73,http://localhost:8000/upload/,4937,0,0
1722583434420,5198,HTTP Request,200,OK,Thread Group 1-624,text,true,,302,1026133,72,72,http://localhost:8000/upload/,5198,0,0
1722583434270,5348,HTTP Request,200,OK,Thread Group 1-466,text,true,,302,1026133,71,71,http://localhost:8000/upload/,5348,0,3
1722583434397,5222,HTTP Request,200,OK,Thread Group 1-597,text,true,,302,1026250,70,70,http://localhost:8000/upload/,5222,0,0
1722583434657,4964,HTTP Request,200,OK,Thread Group 1-860,text,true,,302,1026224,69,69,http://localhost:8000/upload/,4964,0,0
1722583434291,5330,HTTP Request,200,OK,Thread Group 1-435,text,true,,302,1026198,68,68,http://localhost:8000/upload/,5330,0,0
1722583433974,5647,HTTP Request,200,OK,Thread Group 1-172,text,true,,302,1026159,67,67,http://localhost:8000/upload/,5647,0,5
1722583434397,5225,HTTP Request,200,OK,Thread Group 1-601,text,true,,302,1026263,66,66,http://localhost:8000/upload/,5225,0,0
1722583434046,5578,HTTP Request,200,OK,Thread Group 1-242,text,true,,302,1026146,65,65,http://localhost:8000/upload/,5578,0,5
1722583434524,5101,HTTP Request,200,OK,Thread Group 1-724,text,true,,302,1026250,64,64,http://localhost:8000/upload/,5101,0,0
1722583434416,5209,HTTP Request,200,OK,Thread Group 1-619,text,true,,302,1026146,63,63,http://localhost:8000/upload/,5209,0,0
1722583434358,5275,HTTP Request,200,OK,Thread Group 1-561,text,true,,302,1026250,62,62,http://localhost:8000/upload/,5275,0,0
1722583434345,5289,HTTP Request,200,OK,Thread Group 1-548,text,true,,302,1026237,61,61,http://localhost:8000/upload/,5289,0,2
1722583434632,5002,HTTP Request,200,OK,Thread Group 1-835,text,true,,302,1026237,60,60,http://localhost:8000/upload/,5002,0,0
1722583434288,5346,HTTP Request,200,OK,Thread Group 1-443,text,true,,302,1026224,59,59,http://localhost:8000/upload/,5346,0,0
1722583434118,5517,HTTP Request,200,OK,Thread Group 1-321,text,true,,302,1026263,58,58,http://localhost:8000/upload/,5517,0,1
1722583434440,5196,HTTP Request,200,OK,Thread Group 1-640,text,true,,302,1026133,57,57,http://localhost:8000/upload/,5196,0,1
1722583434600,5036,HTTP Request,200,OK,Thread Group 1-801,text,true,,302,1026263,56,56,http://localhost:8000/upload/,5036,0,1
1722583434478,5159,HTTP Request,200,OK,Thread Group 1-665,text,true,,302,1026159,55,55,http://localhost:8000/upload/,5159,0,0
1722583434261,5376,HTTP Request,200,OK,Thread Group 1-448,text,true,,302,1026250,54,54,http://localhost:8000/upload/,5376,0,11
1722583434350,5288,HTTP Request,200,OK,Thread Group 1-551,text,true,,302,1026263,53,53,http://localhost:8000/upload/,5288,0,1
